Wall time,Step,Value
1734421086.2040913,3141012,199.0
1734421094.1880999,3153088,199.0
1734421094.488803,3153680,199.0
1734421102.2693772,3162260,199.0
1734421108.791578,3171604,196.0
1734421115.6792035,3181476,199.0
1734421133.132452,3205472,199.0
1734421133.8485322,3206808,68.0
1734421133.9675655,3207040,199.0
1734421134.6787353,3208400,199.0
1734421144.1477504,3220148,199.0
1734421146.7975364,3225236,199.0
1734421148.01874,3227548,199.0
1734421151.0683186,3230320,199.0
1734421151.550122,3231264,140.0
1734421165.6512146,3251820,168.0
1734421167.8501947,3252604,196.0
1734421170.3562355,3257432,196.0
1734421170.4644835,3257628,199.0
1734421180.1960456,3269956,68.0
1734421182.2846944,3273996,72.0
1734421226.9042444,3287312,199.0
1734421227.7580945,3289076,192.0
1734421229.3703911,3292376,199.0
1734421231.6175494,3293588,199.0
1734421231.78537,3293940,199.0
1734421234.249318,3298700,199.0
1734421252.2462468,3323676,104.0
1734421264.5691602,3340964,164.0
1734421265.2400315,3342224,116.0
1734421276.8437574,3358232,199.0
1734421279.415664,3360008,199.0
1734421280.547385,3362196,199.0
1734421282.4622524,3365832,172.0
1734421285.7220078,3368944,199.0
1734421287.1936498,3371812,199.0
1734421292.441261,3378576,199.0
1734421293.6441891,3380912,199.0
1734421297.7748237,3385616,199.0
1734421300.5242076,3390852,199.0
1734421302.9414024,3392324,184.0
1734421310.1387823,3403092,199.0
1734421316.3772683,3411940,199.0
1734421318.1647341,3415272,176.0
1734421320.5765824,3416716,199.0
1734421326.505917,3425032,199.0
1734421332.8655663,3434200,199.0
1734421333.1741407,3434800,199.0
1734421338.2811275,3441300,199.0
1734421355.8099375,3465292,199.0
1734421356.186798,3466072,199.0
1734421362.738402,3475484,199.0
1734421362.829306,3475664,128.0
1734421364.855363,3479584,199.0
1734421371.7521093,3489580,199.0
1734421383.4447017,3505472,199.0
1734421383.6965816,3505960,199.0
1734421388.8615386,3512772,199.0
1734421391.9269776,3515404,199.0
1734421393.9112155,3519264,199.0
1734421394.7325628,3520792,199.0
1734421397.5132773,3522904,199.0
1734421400.21493,3528192,199.0
1734421406.6529717,3537292,199.0
1734421415.2894642,3547328,199.0
1734421418.401322,3553380,199.0
1734421422.238751,3557604,199.0
1734421431.08445,3571232,199.0
1734421452.430286,3599508,199.0
1734421458.919606,3608772,199.0
1734421463.9567363,3615176,199.0
1734421471.6424115,3626780,199.0
1734421482.3117728,3640948,199.0
1734421482.7033682,3641704,199.0
1734421493.0753548,3655064,199.0
1734421495.0624785,3658924,199.0
1734421495.9255424,3660516,199.0
1734421498.6933665,3662592,100.0
1734421498.9037762,3663016,199.0
1734421499.484269,3664172,199.0
1734421507.422443,3676212,199.0
1734421512.3792233,3682492,199.0
1734421512.5002198,3682716,199.0
1734421512.7222872,3683148,199.0
1734421558.3244839,3698352,199.0
1734421558.6507573,3698996,199.0
1734421562.8844342,3703816,104.0
1734421586.2809255,3735872,199.0
1734421586.8304472,3737004,199.0
1734421594.92155,3749404,199.0
1734421595.3621356,3750240,128.0
1734421601.3525157,3758524,199.0
1734421610.868622,3770464,199.0
1734421612.4740427,3773592,199.0
1734421632.9955544,3785908,199.0
1734421634.9221497,3789628,199.0
1734421640.1434772,3796496,199.0
1734421640.5488214,3797252,199.0
1734421650.5882788,3810096,199.0
1734421657.204817,3819600,199.0
1734421658.7709358,3822636,120.0
1734421660.1438212,3825212,199.0
1734421663.3892405,3828356,199.0
1734421664.8693647,3831220,199.0
1734421669.7895682,3837452,199.0
